Source	Target	Type
#memories	1330504478	Undirected
#mentirosa	1123745592	Undirected
#messi	1371965136	Undirected
#metafest	363773330	Undirected
#midnitevultures	177304651	Undirected
#mimadre	872232643	Undirected
#misionmangopatria	2593776893	Undirected
#modelos	225920698	Undirected
#modoboda	89007912	Undirected
#modotrucupey	201417086	Undirected
#mrgringo	276233876	Undirected
#nature	62435821	Undirected
#nextuniversity	180587337	Undirected
#neymar	848337278	Undirected
#nicenight	988743732	Undirected
#night	318570666	Undirected
#nigth	185459696	Undirected
#nitantukkytumbatodohashtag	17916058	Undirected
#nitantukkytumbatodohashtag	381798460	Undirected
#nitantukkytumbatodohashtag	396117650	Undirected
#no	11811092	Undirected
#nocheesmia	3735136395	Undirected
#nocheloca	603265155	Undirected
#nomesorprende	76703470	Undirected
#nosoysidoso	410861950	Undirected
#ocaña	183731151	Undirected
#octavitas	112163686	Undirected
#oea	220484220	Undirected
#ofcourse	281771120	Undirected
#oitnb	178253123	Undirected
#onlyme	724963368772100102	Undirected
#paraisohotelecuador	742562850644844545	Undirected
#parezcounánima	2247649651	Undirected
#party	105990360	Undirected
#periodismoparaladiversidad	139824862	Undirected
#perudeservedbetter	90475043	Undirected
#php	180587337	Undirected
#piercetheveil	614439882	Undirected
#pifp	202021730	Undirected
#postealgomuitolouco	54415976	Undirected
#preseason	170041700	Undirected
#prioprio	708111701137235972	Undirected
#problemasdepareja	1151980076	Undirected
#promjefferson	199518270	Undirected
#promocionturistica	321144467	Undirected
#proudofmyself	128715803	Undirected
#pty	49012211	Undirected
#puntoparaelalcohol	739340490554892288	Undirected
#purotambor	136401150	Undirected
#quererlos	3906502943	Undirected
#quote	18655030	Undirected
#radio	458460568	Undirected
#radiojeta	247794986	Undirected
#realguillahours	230788749	Undirected
#realtonyanthony	811695457	Undirected
#redroomofpain	78058035	Undirected
#redvelvet	391602042	Undirected
#renewwynonnaearp	62999153	Undirected
#repost	1154830740	Undirected
#revocatorioorebelionya	194613229	Undirected
#revocatorioorebelionya	56257639	Undirected
#rie	1172733126	Undirected
#robertoochoahe	267873146	Undirected
#royalcasino	116824340	Undirected
#sabado	3642467481	Undirected
#sabadodeganarseguidores	380515437	Undirected
#sabadodeganarseguidores	439566670	Undirected
#salsacasino	1346153888	Undirected
#sebastianvillalobosvideo	2225863531	Undirected
#sebastianvillalobosvideo	2377709905	Undirected
#sebastianvillalobosvideo	2464794955	Undirected
#sebastianvillalobosvideo	2983384457	Undirected
#sebastianvillalobosvideo	3132059860	Undirected
#sebastianvillalobosvideo	853659368	Undirected
#sebastiánvillalobosvídeo	178501569	Undirected
#sebastiánvillalobosyoutuber	178501569	Undirected
#sebastiánvillalobosyoutuber	2954391879	Undirected
#sera	2562442524	Undirected
#serfelizydarsecuenta	271996810	Undirected
#serpa	194023021	Undirected
#shakychallenge	166028926	Undirected
#sialapaz	57066781	Undirected
#siguemeytesigoalinstante	2353604976	Undirected
#siguemeytesigodevuelta	2546650490	Undirected
#siguemeytesigodevuelta	709446392729767937	Undirected
#silvestredangond	197529749	Undirected
#sinluz	1708694126	Undirected
#sisters	295791501	Undirected
#smartcity	191196796	Undirected
#sodastereo	215125310	Undirected
#soundhound	263465864	Undirected
#soundhound	46372786	Undirected
#soyleon	1472210748	Undirected
#soyleón	100109429	Undirected
#stocked	267873146	Undirected
#sábadocomoclubesdv	67124560	Undirected
#sépalo	127133897	Undirected
#takeoverworldtour	273170179	Undirected
#talkshow	177304651	Undirected
#tanraro	76703470	Undirected
#teamconjuro	337786714	Undirected
#teamojesus	892085263	Undirected
#tendencia	1172733126	Undirected
#terremoto	848337278	Undirected
#tgif	3003682539	Undirected
#thefundamentalsofcaring	252292578	Undirected
#thewall	105651598	Undirected
#tidalxfamous	2858061076	Undirected
#tnt	746462550825517056	Undirected
#tomas	549677155	Undirected
#tormentaelectrica	183731151	Undirected
#training	170041700	Undirected
#trendy	225501760	Undirected
#triunfantes	1007217613	Undirected
#triunfantes	367365969	Undirected
#trndnl	1180020318	Undirected
#trndnl	1185778536	Undirected
#trndnl	1207759034	Undirected
#trndnl	1371965136	Undirected
#tt	3735136395	Undirected
#tvd	114880186	Undirected
#twdeldia	725736977681752066	Undirected
#twitter	811695457	Undirected
#tyc	1154830740	Undirected
#typography	510749307	Undirected
#uknowit	2830283518	Undirected
#unfinalfeliz	263989782	Undirected
#valencia	89007912	Undirected
#valenciarentería	274042319	Undirected
#vampirosvszombies	746462550825517056	Undirected
#venabrazame	1123745592	Undirected
#venezuela	220484220	Undirected
#veranomtv	3491156477	Undirected
#vestirtedeamor	150069062	Undirected
#vestirtedeamor	346238157	Undirected
#viernes	284317746	Undirected
#viernesito	3906502943	Undirected
#vigesimoaniversario	89543033	Undirected
#vivachiabe	221629950	Undirected
#vivir	1172733126	Undirected
#voluntariosacp	703805636	Undirected
#voz	406486684	Undirected
#vzl	4547594854	Undirected
#yoquieroliving	284317746	Undirected
#yosoyperu	241380947	Undirected
#zulia	3642467481	Undirected
$	54122382	Undirected
''	440293184	Undirected
'll	230788749	Undirected
'll	2696424289	Undirected
'm	163173416	Undirected
'm	230788749	Undirected
'n	2696424289	Undirected
's	104834449	Undirected
's	160317536	Undirected
's	192403175	Undirected
's	219310785	Undirected
's	25596981	Undirected
's	260268494	Undirected
's	277055646	Undirected
's	329197447	Undirected
's	42118566	Undirected
's	4623563837	Undirected
's	542536067	Undirected
's	627649588	Undirected
's	729285654736162816	Undirected
's	750148320	Undirected
's	90475043	Undirected
**	440358015	Undirected
***	178169405	Undirected
--	1140164670	Undirected
--	144641131	Undirected
-11	1895066269	Undirected
-30	554666463	Undirected
-lsb-	561882807	Undirected
-rsb-	561882807	Undirected
0lizethrobayo6	1898222191	Undirected
100109429	@alvarouribevel	Undirected
100109429	tesis	Undirected
100205849	#losviernesdeberia	Undirected
100205849	alejado	Undirected
100205849	bueno	Undirected
100205849	descansar	Undirected
100205849	niño	Undirected
100205849	pecados	Undirected
1002874176	@grupokvrass	Undirected
1002874176	@kenelkvrass	Undirected
1002874176	amor	Undirected
1002874176	camila	Undirected
1002874176	captures	Undirected
1002874176	dios	Undirected
1002874176	linea	Undirected
1002874176	padre	Undirected
1002874176	poderoso	Undirected
1002874176	santo	Undirected
1002874176	sexo	Undirected
1002874176	tentaciones	Undirected
1002874176	🎶	Undirected
1002874176	🙈	Undirected
1005632257	banco	Undirected
1005632257	chimba	Undirected
1005632257	cosas	Undirected
1005632257	días	Undirected
1005632257	jueguito	Undirected
1005632257	mierda	Undirected
1005632257	peligro	Undirected
1005632257	propio	Undirected
1005632257	tweet	Undirected
1007217613	👏	Undirected
1010418474	🎶	Undirected
101106249	#buenasnoches	Undirected
101376857	propia	Undirected
101376857	red	Undirected
101376857	solitos	Undirected
101379290	@arcticacete	Undirected
101379290	amo	Undirected
