source	target	type
2858385383	#envacacionesyosiempre	Undirected
1180020318	#envacacionesyosiempre	Undirected
172851128	#envacacionesyosiempre	Undirected
170561649	#envacacionesyosiempre	Undirected
386185904	#envacacionesyosiempre	Undirected
396117650	#envacacionesyosiempre	Undirected
2405531431	#envacacionesyosiempre	Undirected
3081104615	#eslaultima	Undirected
352356850	#esporti	Undirected
1520519215	#estamoslocos	Undirected
237001147	#estebarconosevahundir	Undirected
847676324	#evento	Undirected
273170179	#explosionmusical	Undirected
386185904	#extremo	Undirected
3004426973	#facebook	Undirected
3204067018	#facebook	Undirected
3081104615	#fail	Undirected
205847829	#fairplay	Undirected
3095057821	#falsodineroelectronico	Undirected
327752186	#familia	Undirected
478860943	#familia	Undirected
703805636	#familiafolcklore	Undirected
49012211	#familiahermosa	Undirected
89007912	#familiasosa	Undirected
1330504478	#family	Undirected
295791501	#family	Undirected
89361818	#family	Undirected
89007912	#familytime	Undirected
101569103	#fb	Undirected
107598401	#fbf	Undirected
100109429	#felicidad	Undirected
146975516	#felicidad	Undirected
1869524413	#felicidades	Undirected
346238157	#felipepelaez	Undirected
1359021344	#felizcumplemessi	Undirected
2864363461	#felizfincho	Undirected
514761746	#feliznoche	Undirected
2353604976	#felizsabado	Undirected
175571381	#felizsabado	Undirected
1385375114	#femenino	Undirected
295791501	#feriamanabita	Undirected
395600034	#festitango	Undirected
386984727	#festitango	Undirected
3204067018	#fiftyshades	Undirected
3204067018	#fiftyshadesdarker	Undirected
424532780	#fijocalls	Undirected
1105318854	#finalfatmagul	Undirected
1207759034	#firmadesoyenvenezuela	Undirected
17916058	#firmadesoyenvenezuela	Undirected
312719924	#fishandchips	Undirected
352356850	#flakita	Undirected
2546650490	#follobackinstantly	Undirected
2546650490	#folloforfolloback	Undirected
709446392729767937	#follow	Undirected
709446392729767937	#followback	Undirected
113779973	#foreveralone	Undirected
145394188	#fotorus	Undirected
231567736	#freediving	Undirected
724963368772100102	#friday	Undirected
258490835	#fridaynight	Undirected
21278719	#fridaynight	Undirected
105990360	#friends	Undirected
201276191	#friends	Undirected
318570666	#friends	Undirected
89361818	#friends	Undirected
258490835	#friends	Undirected
243447738	#friends	Undirected
709785628431544320	#frostees	Undirected
3204067018	#fsd	Undirected
3204067018	#fsf	Undirected
3204067018	#fsog	Undirected
3362648895	#fta	Undirected
1362096025	#fuegoenmishuesos	Undirected
129349969	#fun	Undirected
1182074978	#funkafest	Undirected
75906922	#funkafest	Undirected
68563971	#funkafest	Undirected
1330504478	#funtimes	Undirected
68746991	#galapagos	Undirected
80731992	#gameofthrones	Undirected
83879434	#gameofthrones	Undirected
175292497	#gh	Undirected
126710787	#giraduendecillosenlacama	Undirected
509791174	#girlfriend	Undirected
129349969	#girls	Undirected
191196796	#gobiernoabierto	Undirected
195227348	#goodnight	Undirected
247946058	#goodnightworld	Undirected
74389994	#goodtimes	Undirected
361593385	#googlevoyatenersuerte	Undirected
1172733126	#goza	Undirected
550352245	#gracias	Undirected
4547594854	#granremate	Undirected
1207806781	#granremate	Undirected
56257639	#granremate	Undirected
3204067018	#gravações	Undirected
1094301498	#gravity	Undirected
295791501	#greattimes	Undirected
170041700	#grip	Undirected
1666774358	#grupoo	Undirected
138580124	#guatire	Undirected
225920698	#guayaquil	Undirected
123422195	#gyexit	Undirected
1182074978	#gyexit	Undirected
373637530	#gym	Undirected
129349969	#hair	Undirected
80035100	#haleafterdark	Undirected
1330504478	#happiness	Undirected
129349969	#happy	Undirected
132608499	#happybirthday	Undirected
217146330	#happybirthdayjysus	Undirected
228619705	#happymoments	Undirected
33312559	#hardrockcafe	Undirected
273729393	#hashtag	Undirected
204091381	#hastaelúltimotrago	Undirected
1105318854	#hastasiemprefatmagul	Undirected
339413309	#hayfuturo	Undirected
1319147330	#hbdhanna	Undirected
354353208	#hbdhannahaash	Undirected
290744311	#hermana	Undirected
1558698438	#hermanos	Undirected
635520177	#hermosura	Undirected
225980791	#higgledypiggledy	Undirected
