source	target
247946058	#goodnightworld
74389994	#goodtimes
361593385	#googlevoyatenersuerte
1172733126	#goza
550352245	#gracias
4547594854	#granremate
56257639	#granremate
1207806781	#granremate
3204067018	#gravações
1094301498	#gravity
295791501	#greattimes
170041700	#grip
1666774358	#grupoo
138580124	#guatire
225920698	#guayaquil
1182074978	#gyexit
123422195	#gyexit
373637530	#gym
129349969	#hair
80035100	#haleafterdark
1330504478	#happiness
129349969	#happy
132608499	#happybirthday
217146330	#happybirthdayjysus
228619705	#happymoments
33312559	#hardrockcafe
273729393	#hashtag
204091381	#hastaelúltimotrago
1105318854	#hastasiemprefatmagul
339413309	#hayfuturo
1319147330	#hbdhanna
354353208	#hbdhannahaash
290744311	#hermana
1558698438	#hermanos
635520177	#hermosura
225980791	#higgledypiggledy
290744311	#hija
3348425236	#hojetemmissajovem
1371965136	#holasoydanny
348768326	#honda
894642139	#hoolaa
18655030	#hope
355756376	#ifeelalive
2861996363	#ifeelalive
18655030	#impresionable
122152498	#imsomnio
2916298775	#indenpendenceday
3243882225	#indierock
223478400	#inefables
180060313	#ingenieros
281771120	#inlove
253611895	#insession
129349969	#inshot
118205469	#instafat
603223850	#instagram
1448018905	#instagram
811695457	#instagram
3004426973	#instagram
189421982	#instamood
74389994	#instasize
167907939	#instasize
847676324	#instawork
132608499	#internado
220057539	#iphoneissues
223478400	#jazz
458460568	#jct
78651416	#johaycarlos
2861996363	#joscanelatrendy
355756376	#joscanelatrendy
112163686	#jun
4547594854	#juventudad
887197122	#kahlo
167651102	#karlisalejandra
853659368	#kcamexico
186164673	#kcamexico
2954391879	#kcamexico
3132059860	#kcamexico
2861996363	#kcamexico
2225863531	#kcamexico
3291893753	#kcamexico
355756376	#kcamexico
2476245494	#kcamexico
2377709905	#kcamexico
2983384457	#kcamexico
740681562614816768	#kcamexico
1026911341	#kcamexico
169543344	#kcamexico
2464794955	#kcamexico
178501569	#kcaméxico
289679934	#kilimandiarocity
57973448	#killme
373637530	#kozokozo
1105318854	#labodadefatmagulykerim
78058035	#labrts
2247649651	#lacostaeslacosta
339671962	#laguneras
265850729	#lajodota
183406792	#lamovida
2557864188	#laneta
