A302100 - Total Workers (1) (Workers 16 years and over),,,
Current date: 5/28/2017 10:35:29 AM (Eastern Daylight Time),,,
RESIDENCE,WORKPLACE,Output,Workers 16 and Over
Arizona,Arizona,Estimate,"2,650,875"
Arizona,Arizona,Margin of Error,"7,410"
Arizona,Arkansas,Estimate,230
Arizona,Arkansas,Margin of Error,117
Arizona,California,Estimate,"12,610"
Arizona,California,Margin of Error,829
Arizona,Colorado,Estimate,"1,325"
Arizona,Colorado,Margin of Error,299
Arizona,Connecticut,Estimate,165
Arizona,Connecticut,Margin of Error,96
Arizona,Delaware,Estimate,65
Arizona,Delaware,Margin of Error,55
Arizona,District of Columbia,Estimate,110
Arizona,District of Columbia,Margin of Error,56
Arizona,Florida,Estimate,645
Arizona,Florida,Margin of Error,184
Arizona,Georgia,Estimate,460
Arizona,Georgia,Margin of Error,146
Arizona,Hawaii,Estimate,105
Arizona,Hawaii,Margin of Error,58
Arizona,Idaho,Estimate,230
Arizona,Idaho,Margin of Error,93
Arizona,Illinois,Estimate,"1,265"
Arizona,Illinois,Margin of Error,263
Arizona,Indiana,Estimate,255
Arizona,Indiana,Margin of Error,106
Arizona,Iowa,Estimate,380
Arizona,Iowa,Margin of Error,160
Arizona,Kansas,Estimate,345
Arizona,Kansas,Margin of Error,133
Arizona,Kentucky,Estimate,95
Arizona,Kentucky,Margin of Error,79
Arizona,Louisiana,Estimate,130
Arizona,Louisiana,Margin of Error,86
Arizona,Maine,Estimate,70
Arizona,Maine,Margin of Error,50
Arizona,Maryland,Estimate,255
Arizona,Maryland,Margin of Error,112
Arizona,Massachusetts,Estimate,205
Arizona,Massachusetts,Margin of Error,115
Arizona,Michigan,Estimate,325
Arizona,Michigan,Margin of Error,97
Arizona,Minnesota,Estimate,730
Arizona,Minnesota,Margin of Error,210
Arizona,Mississippi,Estimate,85
Arizona,Mississippi,Margin of Error,69
Arizona,Missouri,Estimate,535
Arizona,Missouri,Margin of Error,150
Arizona,Montana,Estimate,120
Arizona,Montana,Margin of Error,88
Arizona,Nebraska,Estimate,310
Arizona,Nebraska,Margin of Error,169
Arizona,Nevada,Estimate,"11,635"
Arizona,Nevada,Margin of Error,786
Arizona,New Hampshire,Estimate,40
Arizona,New Hampshire,Margin of Error,39
Arizona,New Jersey,Estimate,310
Arizona,New Jersey,Margin of Error,134
Arizona,New Mexico,Estimate,"3,095"
Arizona,New Mexico,Margin of Error,413
Arizona,New York,Estimate,795
Arizona,New York,Margin of Error,154
Arizona,North Carolina,Estimate,340
Arizona,North Carolina,Margin of Error,135
Arizona,North Dakota,Estimate,160
Arizona,North Dakota,Margin of Error,84
Arizona,Ohio,Estimate,610
Arizona,Ohio,Margin of Error,180
Arizona,Oklahoma,Estimate,160
Arizona,Oklahoma,Margin of Error,76
Arizona,Oregon,Estimate,495
Arizona,Oregon,Margin of Error,164
Arizona,Pennsylvania,Estimate,355
Arizona,Pennsylvania,Margin of Error,126
Arizona,Rhode Island,Estimate,35
Arizona,Rhode Island,Margin of Error,38
Arizona,South Carolina,Estimate,120
Arizona,South Carolina,Margin of Error,75
Arizona,South Dakota,Estimate,110
Arizona,South Dakota,Margin of Error,74
Arizona,Tennessee,Estimate,275
Arizona,Tennessee,Margin of Error,122
Arizona,Texas,Estimate,"1,810"
Arizona,Texas,Margin of Error,331
Arizona,Utah,Estimate,"2,070"
Arizona,Utah,Margin of Error,294
Arizona,Vermont,Estimate,50
Arizona,Vermont,Margin of Error,50
Arizona,Virginia,Estimate,340
