A302100 - Total Workers (1) (Workers 16 years and over),,,
Current date: 5/28/2017 10:35:29 AM (Eastern Daylight Time),,,
RESIDENCE,WORKPLACE,Output,Workers 16 and Over
District of Columbia,Alabama,Estimate,50
District of Columbia,Alabama,Margin of Error,57
District of Columbia,Arizona,Estimate,4
District of Columbia,Arizona,Margin of Error,7
District of Columbia,California,Estimate,125
District of Columbia,California,Margin of Error,79
District of Columbia,Colorado,Estimate,15
District of Columbia,Colorado,Margin of Error,22
District of Columbia,Connecticut,Estimate,35
District of Columbia,Connecticut,Margin of Error,35
District of Columbia,Delaware,Estimate,15
District of Columbia,Delaware,Margin of Error,24
District of Columbia,District of Columbia,Estimate,"215,070"
District of Columbia,District of Columbia,Margin of Error,"2,748"
District of Columbia,Florida,Estimate,140
District of Columbia,Florida,Margin of Error,108
District of Columbia,Georgia,Estimate,35
District of Columbia,Georgia,Margin of Error,28
District of Columbia,Illinois,Estimate,110
District of Columbia,Illinois,Margin of Error,67
District of Columbia,Kentucky,Estimate,25
District of Columbia,Kentucky,Margin of Error,41
District of Columbia,Maryland,Estimate,"40,690"
District of Columbia,Maryland,Margin of Error,"1,706"
District of Columbia,Massachusetts,Estimate,140
District of Columbia,Massachusetts,Margin of Error,88
District of Columbia,Michigan,Estimate,10
District of Columbia,Michigan,Margin of Error,18
District of Columbia,Minnesota,Estimate,40
District of Columbia,Minnesota,Margin of Error,46
District of Columbia,Missouri,Estimate,10
District of Columbia,Missouri,Margin of Error,14
District of Columbia,Montana,Estimate,25
District of Columbia,Montana,Margin of Error,28
District of Columbia,Nebraska,Estimate,60
District of Columbia,Nebraska,Margin of Error,67
District of Columbia,Nevada,Estimate,40
District of Columbia,Nevada,Margin of Error,38
District of Columbia,New Hampshire,Estimate,40
District of Columbia,New Hampshire,Margin of Error,47
District of Columbia,New Jersey,Estimate,55
District of Columbia,New Jersey,Margin of Error,43
District of Columbia,New York,Estimate,650
District of Columbia,New York,Margin of Error,200
District of Columbia,North Carolina,Estimate,35
District of Columbia,North Carolina,Margin of Error,35
District of Columbia,Ohio,Estimate,55
District of Columbia,Ohio,Margin of Error,43
District of Columbia,Oregon,Estimate,30
District of Columbia,Oregon,Margin of Error,35
District of Columbia,Pennsylvania,Estimate,200
District of Columbia,Pennsylvania,Margin of Error,86
District of Columbia,Rhode Island,Estimate,30
District of Columbia,Rhode Island,Margin of Error,27
District of Columbia,South Carolina,Estimate,10
District of Columbia,South Carolina,Margin of Error,21
District of Columbia,Texas,Estimate,135
District of Columbia,Texas,Margin of Error,95
District of Columbia,Virginia,Estimate,"34,550"
District of Columbia,Virginia,Margin of Error,"1,278"
District of Columbia,Washington,Estimate,75
District of Columbia,Washington,Margin of Error,46
District of Columbia,West Virginia,Estimate,40
District of Columbia,West Virginia,Margin of Error,36
Florida,Alabama,Estimate,"9,290"
Florida,Alabama,Margin of Error,758
Florida,Alaska,Estimate,265
Florida,Alaska,Margin of Error,90
Florida,Arizona,Estimate,595
Florida,Arizona,Margin of Error,207
Florida,Arkansas,Estimate,270
Florida,Arkansas,Margin of Error,130
Florida,California,Estimate,"3,260"
Florida,California,Margin of Error,372
Florida,Colorado,Estimate,400
Florida,Colorado,Margin of Error,128
Florida,Connecticut,Estimate,"1,325"
Florida,Connecticut,Margin of Error,285
Florida,Delaware,Estimate,260
Florida,Delaware,Margin of Error,121
Florida,District of Columbia,Estimate,"1,000"
Florida,District of Columbia,Margin of Error,223
Florida,Florida,Estimate,"8,060,640"
Florida,Florida,Margin of Error,"14,001"
Florida,Georgia,Estimate,"14,550"
Florida,Georgia,Margin of Error,963
Florida,Hawaii,Estimate,180
Florida,Hawaii,Margin of Error,105
Florida,Idaho,Estimate,20
Florida,Idaho,Margin of Error,31
Florida,Illinois,Estimate,"4,025"
Florida,Illinois,Margin of Error,383
Florida,Indiana,Estimate,"1,990"
Florida,Indiana,Margin of Error,290
Florida,Iowa,Estimate,665
Florida,Iowa,Margin of Error,184
Florida,Kansas,Estimate,350
Florida,Kansas,Margin of Error,119
Florida,Kentucky,Estimate,"1,015"
Florida,Kentucky,Margin of Error,190
Florida,Louisiana,Estimate,"3,375"
Florida,Louisiana,Margin of Error,481
Florida,Maine,Estimate,410
Florida,Maine,Margin of Error,143
Florida,Maryland,Estimate,"2,235"
Florida,Maryland,Margin of Error,359
Florida,Massachusetts,Estimate,"3,180"
Florida,Massachusetts,Margin of Error,383
Florida,Michigan,Estimate,"2,760"
Florida,Michigan,Margin of Error,397
Florida,Minnesota,Estimate,"1,280"
Florida,Minnesota,Margin of Error,253
Florida,Mississippi,Estimate,"1,375"
Florida,Mississippi,Margin of Error,295
Florida,Missouri,Estimate,"1,495"
Florida,Missouri,Margin of Error,322
Florida,Montana,Estimate,50
Florida,Montana,Margin of Error,57
Florida,Nebraska,Estimate,410
Florida,Nebraska,Margin of Error,158
Florida,Nevada,Estimate,480
Florida,Nevada,Margin of Error,202
Florida,New Hampshire,Estimate,295
Florida,New Hampshire,Margin of Error,91
Florida,New Jersey,Estimate,"4,970"
Florida,New Jersey,Margin of Error,556
Florida,New Mexico,Estimate,215
Florida,New Mexico,Margin of Error,84
Florida,New York,Estimate,"9,530"
Florida,New York,Margin of Error,659
Florida,North Carolina,Estimate,"2,790"
Florida,North Carolina,Margin of Error,396
Florida,North Dakota,Estimate,40
Florida,North Dakota,Margin of Error,40
Florida,Ohio,Estimate,"3,115"
Florida,Ohio,Margin of Error,426
Florida,Oklahoma,Estimate,375
Florida,Oklahoma,Margin of Error,137
Florida,Oregon,Estimate,235
Florida,Oregon,Margin of Error,100
Florida,Pennsylvania,Estimate,"2,990"
Florida,Pennsylvania,Margin of Error,429
Florida,Rhode Island,Estimate,415
Florida,Rhode Island,Margin of Error,126
Florida,South Carolina,Estimate,"1,935"
Florida,South Carolina,Margin of Error,372
Florida,South Dakota,Estimate,40
Florida,South Dakota,Margin of Error,53
Florida,Tennessee,Estimate,"2,055"
Florida,Tennessee,Margin of Error,314
Florida,Texas,Estimate,"4,480"
Florida,Texas,Margin of Error,469
Florida,Utah,Estimate,265
Florida,Utah,Margin of Error,149
Florida,Vermont,Estimate,75
Florida,Vermont,Margin of Error,69
Florida,Virginia,Estimate,"3,675"
Florida,Virginia,Margin of Error,528
Florida,Washington,Estimate,495
Florida,Washington,Margin of Error,128
Florida,West Virginia,Estimate,360
Florida,West Virginia,Margin of Error,140
Florida,Wisconsin,Estimate,840
Florida,Wisconsin,Margin of Error,221
Florida,Wyoming,Estimate,160
Florida,Wyoming,Margin of Error,104
Florida,Puerto Rico,Estimate,765
Florida,Puerto Rico,Margin of Error,167
Georgia,Alabama,Estimate,"12,925"
Georgia,Alabama,Margin of Error,884
Georgia,Alaska,Estimate,10
Georgia,Alaska,Margin of Error,20
Georgia,Arizona,Estimate,380
Georgia,Arizona,Margin of Error,119
Georgia,Arkansas,Estimate,385
Georgia,Arkansas,Margin of Error,130
Georgia,California,Estimate,"2,185"
Georgia,California,Margin of Error,379
Georgia,Colorado,Estimate,390
Georgia,Colorado,Margin of Error,147
Georgia,Connecticut,Estimate,270
Georgia,Connecticut,Margin of Error,117
Georgia,Delaware,Estimate,60
Georgia,Delaware,Margin of Error,40
Georgia,District of Columbia,Estimate,600
Georgia,District of Columbia,Margin of Error,178
Georgia,Florida,Estimate,"16,210"
Georgia,Florida,Margin of Error,853
Georgia,Georgia,Estimate,"4,124,255"
Georgia,Georgia,Margin of Error,"9,385"
Georgia,Hawaii,Estimate,70
Georgia,Hawaii,Margin of Error,50
Georgia,Idaho,Estimate,25
Georgia,Idaho,Margin of Error,29
Georgia,Illinois,Estimate,"1,480"
Georgia,Illinois,Margin of Error,288
Georgia,Indiana,Estimate,480
Georgia,Indiana,Margin of Error,145
Georgia,Iowa,Estimate,285
Georgia,Iowa,Margin of Error,97
Georgia,Kansas,Estimate,320
Georgia,Kansas,Margin of Error,126
Georgia,Kentucky,Estimate,595
Georgia,Kentucky,Margin of Error,175
Georgia,Louisiana,Estimate,"1,205"
Georgia,Louisiana,Margin of Error,280
Georgia,Maine,Estimate,40
Georgia,Maine,Margin of Error,40
Georgia,Maryland,Estimate,670
Georgia,Maryland,Margin of Error,235
Georgia,Massachusetts,Estimate,660
Georgia,Massachusetts,Margin of Error,181
Georgia,Michigan,Estimate,710
Georgia,Michigan,Margin of Error,221
Georgia,Minnesota,Estimate,380
Georgia,Minnesota,Margin of Error,129
Georgia,Mississippi,Estimate,655
Georgia,Mississippi,Margin of Error,187
Georgia,Missouri,Estimate,420
Georgia,Missouri,Margin of Error,114
Georgia,Montana,Estimate,35
Georgia,Montana,Margin of Error,32
Georgia,Nebraska,Estimate,200
Georgia,Nebraska,Margin of Error,89
Georgia,Nevada,Estimate,180
Georgia,Nevada,Margin of Error,91
Georgia,New Hampshire,Estimate,65
Georgia,New Hampshire,Margin of Error,90
Georgia,New Jersey,Estimate,"1,015"
Georgia,New Jersey,Margin of Error,198
Georgia,New Mexico,Estimate,100
Georgia,New Mexico,Margin of Error,57
Georgia,New York,Estimate,"2,610"
Georgia,New York,Margin of Error,395
Georgia,North Carolina,Estimate,"6,115"
Georgia,North Carolina,Margin of Error,594
Georgia,North Dakota,Estimate,20
Georgia,North Dakota,Margin of Error,27
Georgia,Ohio,Estimate,935
Georgia,Ohio,Margin of Error,231
Georgia,Oklahoma,Estimate,125
Georgia,Oklahoma,Margin of Error,62
Georgia,Oregon,Estimate,110
Georgia,Oregon,Margin of Error,62
Georgia,Pennsylvania,Estimate,"1,125"
Georgia,Pennsylvania,Margin of Error,257
Georgia,Rhode Island,Estimate,45
Georgia,Rhode Island,Margin of Error,45
Georgia,South Carolina,Estimate,"20,205"
Georgia,South Carolina,Margin of Error,"1,087"
Georgia,South Dakota,Estimate,15
Georgia,South Dakota,Margin of Error,33
Georgia,Tennessee,Estimate,"34,090"
Georgia,Tennessee,Margin of Error,"1,170"
Georgia,Texas,Estimate,"2,340"
Georgia,Texas,Margin of Error,427
Georgia,Utah,Estimate,150
Georgia,Utah,Margin of Error,91
Georgia,Virginia,Estimate,"1,935"
Georgia,Virginia,Margin of Error,312
Georgia,Washington,Estimate,310
Georgia,Washington,Margin of Error,154
Georgia,West Virginia,Estimate,100
Georgia,West Virginia,Margin of Error,78
Georgia,Wisconsin,Estimate,475
Georgia,Wisconsin,Margin of Error,173
Georgia,Wyoming,Estimate,35
Georgia,Wyoming,Margin of Error,34
Georgia,Puerto Rico,Estimate,40
Georgia,Puerto Rico,Margin of Error,34
Hawaii,Alabama,Estimate,10
Hawaii,Alabama,Margin of Error,16
Hawaii,Alaska,Estimate,55
Hawaii,Alaska,Margin of Error,56
Hawaii,Arizona,Estimate,65
Hawaii,Arizona,Margin of Error,48
Hawaii,Arkansas,Estimate,35
Hawaii,Arkansas,Margin of Error,33
Hawaii,California,Estimate,855
Hawaii,California,Margin of Error,206
Hawaii,Colorado,Estimate,90
Hawaii,Colorado,Margin of Error,61
Hawaii,Connecticut,Estimate,25
Hawaii,Connecticut,Margin of Error,39
Hawaii,District of Columbia,Estimate,20
Hawaii,District of Columbia,Margin of Error,30
Hawaii,Florida,Estimate,195
Hawaii,Florida,Margin of Error,157
Hawaii,Georgia,Estimate,10
Hawaii,Georgia,Margin of Error,20
Hawaii,Hawaii,Estimate,"654,505"
Hawaii,Hawaii,Margin of Error,"3,307"
Hawaii,Idaho,Estimate,15
Hawaii,Idaho,Margin of Error,21
Hawaii,Illinois,Estimate,120
Hawaii,Illinois,Margin of Error,88
Hawaii,Indiana,Estimate,20
Hawaii,Indiana,Margin of Error,20
Hawaii,Kentucky,Estimate,30
Hawaii,Kentucky,Margin of Error,53
Hawaii,Louisiana,Estimate,20
Hawaii,Louisiana,Margin of Error,31
Hawaii,Maryland,Estimate,90
Hawaii,Maryland,Margin of Error,84
Hawaii,Massachusetts,Estimate,85
Hawaii,Massachusetts,Margin of Error,74
Hawaii,Minnesota,Estimate,75
Hawaii,Minnesota,Margin of Error,72
Hawaii,Mississippi,Estimate,95
Hawaii,Mississippi,Margin of Error,84
Hawaii,Missouri,Estimate,25
Hawaii,Missouri,Margin of Error,30
Hawaii,Nevada,Estimate,30
Hawaii,Nevada,Margin of Error,27
Hawaii,New Jersey,Estimate,10
Hawaii,New Jersey,Margin of Error,18
Hawaii,New Mexico,Estimate,15
Hawaii,New Mexico,Margin of Error,23
Hawaii,New York,Estimate,30
Hawaii,New York,Margin of Error,23
Hawaii,North Carolina,Estimate,90
Hawaii,North Carolina,Margin of Error,59
Hawaii,Ohio,Estimate,20
Hawaii,Ohio,Margin of Error,38
Hawaii,Oklahoma,Estimate,15
Hawaii,Oklahoma,Margin of Error,22
Hawaii,Oregon,Estimate,105
Hawaii,Oregon,Margin of Error,96
Hawaii,Pennsylvania,Estimate,45
Hawaii,Pennsylvania,Margin of Error,39
Hawaii,South Carolina,Estimate,45
Hawaii,South Carolina,Margin of Error,33
Hawaii,Tennessee,Estimate,10
Hawaii,Tennessee,Margin of Error,18
Hawaii,Texas,Estimate,100
Hawaii,Texas,Margin of Error,60
Hawaii,Utah,Estimate,45
Hawaii,Utah,Margin of Error,44
Hawaii,Virginia,Estimate,60
Hawaii,Virginia,Margin of Error,42
Hawaii,Washington,Estimate,240
Hawaii,Washington,Margin of Error,112
Hawaii,Wyoming,Estimate,4
Hawaii,Wyoming,Margin of Error,9
Idaho,Alaska,Estimate,345
Idaho,Alaska,Margin of Error,113
Idaho,Arizona,Estimate,160
Idaho,Arizona,Margin of Error,68
Idaho,Arkansas,Estimate,35
Idaho,Arkansas,Margin of Error,36
Idaho,California,Estimate,965
Idaho,California,Margin of Error,259
Idaho,Colorado,Estimate,220
Idaho,Colorado,Margin of Error,97
Idaho,Delaware,Estimate,10
Idaho,Delaware,Margin of Error,15
Idaho,District of Columbia,Estimate,40
Idaho,District of Columbia,Margin of Error,38
Idaho,Florida,Estimate,60
Idaho,Florida,Margin of Error,44
Idaho,Georgia,Estimate,45
Idaho,Georgia,Margin of Error,47
Idaho,Hawaii,Estimate,60
Idaho,Hawaii,Margin of Error,46
Idaho,Idaho,Estimate,"651,810"
Idaho,Idaho,Margin of Error,"2,639"
Idaho,Illinois,Estimate,110
Idaho,Illinois,Margin of Error,68
Idaho,Indiana,Estimate,10
Idaho,Indiana,Margin of Error,19
Idaho,Iowa,Estimate,100
Idaho,Iowa,Margin of Error,57
Idaho,Kansas,Estimate,35
Idaho,Kansas,Margin of Error,27
Idaho,Kentucky,Estimate,20
Idaho,Kentucky,Margin of Error,24
Idaho,Louisiana,Estimate,100
Idaho,Louisiana,Margin of Error,87
Idaho,Massachusetts,Estimate,25
Idaho,Massachusetts,Margin of Error,32
Idaho,Michigan,Estimate,40
Idaho,Michigan,Margin of Error,32
Idaho,Minnesota,Estimate,60
Idaho,Minnesota,Margin of Error,41
Idaho,Mississippi,Estimate,10
Idaho,Mississippi,Margin of Error,19
Idaho,Missouri,Estimate,40
Idaho,Missouri,Margin of Error,39
Idaho,Montana,Estimate,625
Idaho,Montana,Margin of Error,152
Idaho,Nebraska,Estimate,50
Idaho,Nebraska,Margin of Error,41
Idaho,Nevada,Estimate,"1,050"
Idaho,Nevada,Margin of Error,180
Idaho,New Jersey,Estimate,35
Idaho,New Jersey,Margin of Error,34
Idaho,New Mexico,Estimate,55
Idaho,New Mexico,Margin of Error,43
Idaho,New York,Estimate,100
Idaho,New York,Margin of Error,51
Idaho,North Carolina,Estimate,25
Idaho,North Carolina,Margin of Error,24
Idaho,North Dakota,Estimate,140
Idaho,North Dakota,Margin of Error,84
Idaho,Ohio,Estimate,75
Idaho,Ohio,Margin of Error,60
Idaho,Oklahoma,Estimate,20
Idaho,Oklahoma,Margin of Error,20
Idaho,Oregon,Estimate,"5,210"
Idaho,Oregon,Margin of Error,406
Idaho,Pennsylvania,Estimate,125
Idaho,Pennsylvania,Margin of Error,64
Idaho,South Carolina,Estimate,20
Idaho,South Carolina,Margin of Error,29
Idaho,South Dakota,Estimate,50
Idaho,South Dakota,Margin of Error,43
Idaho,Tennessee,Estimate,60
Idaho,Tennessee,Margin of Error,55
Idaho,Texas,Estimate,275
Idaho,Texas,Margin of Error,101
Idaho,Utah,Estimate,"3,180"
Idaho,Utah,Margin of Error,301
Idaho,Virginia,Estimate,25
Idaho,Virginia,Margin of Error,30
Idaho,Washington,Estimate,"16,950"
Idaho,Washington,Margin of Error,908
Idaho,Wyoming,Estimate,"2,795"
Idaho,Wyoming,Margin of Error,349
Illinois,Alabama,Estimate,285
Illinois,Alabama,Margin of Error,98
Illinois,Alaska,Estimate,70
Illinois,Alaska,Margin of Error,69
Illinois,Arizona,Estimate,360
Illinois,Arizona,Margin of Error,118
Illinois,Arkansas,Estimate,425
Illinois,Arkansas,Margin of Error,132
Illinois,California,Estimate,"2,485"
Illinois,California,Margin of Error,378
Illinois,Colorado,Estimate,520
Illinois,Colorado,Margin of Error,172
Illinois,Connecticut,Estimate,295
Illinois,Connecticut,Margin of Error,109
Illinois,Delaware,Estimate,50
Illinois,Delaware,Margin of Error,37
Illinois,District of Columbia,Estimate,505
Illinois,District of Columbia,Margin of Error,140
Illinois,Florida,Estimate,"1,690"
Illinois,Florida,Margin of Error,288
Illinois,Georgia,Estimate,"1,120"
Illinois,Georgia,Margin of Error,221
Illinois,Hawaii,Estimate,100
Illinois,Hawaii,Margin of Error,55
Illinois,Idaho,Estimate,45
Illinois,Idaho,Margin of Error,35
Illinois,Illinois,Estimate,"5,726,000"
Illinois,Illinois,Margin of Error,"10,714"
Illinois,Indiana,Estimate,"30,065"
Illinois,Indiana,Margin of Error,"1,257"
Illinois,Iowa,Estimate,"31,790"
Illinois,Iowa,Margin of Error,980
Illinois,Kansas,Estimate,470
Illinois,Kansas,Margin of Error,128
Illinois,Kentucky,Estimate,"4,470"
Illinois,Kentucky,Margin of Error,378
Illinois,Louisiana,Estimate,495
Illinois,Louisiana,Margin of Error,164
Illinois,Maine,Estimate,35
Illinois,Maine,Margin of Error,34
Illinois,Maryland,Estimate,500
Illinois,Maryland,Margin of Error,139
Illinois,Massachusetts,Estimate,725
Illinois,Massachusetts,Margin of Error,189
Illinois,Michigan,Estimate,"2,140"
Illinois,Michigan,Margin of Error,333
Illinois,Minnesota,Estimate,"1,275"
Illinois,Minnesota,Margin of Error,257
Illinois,Mississippi,Estimate,60
Illinois,Mississippi,Margin of Error,51
Illinois,Missouri,Estimate,"87,295"
Illinois,Missouri,Margin of Error,"1,851"
Illinois,Montana,Estimate,35
Illinois,Montana,Margin of Error,33
Illinois,Nebraska,Estimate,630
Illinois,Nebraska,Margin of Error,191
Illinois,Nevada,Estimate,330
Illinois,Nevada,Margin of Error,125
Illinois,New Hampshire,Estimate,35
Illinois,New Hampshire,Margin of Error,34
Illinois,New Jersey,Estimate,815
Illinois,New Jersey,Margin of Error,195
Illinois,New Mexico,Estimate,140
Illinois,New Mexico,Margin of Error,58
Illinois,New York,Estimate,"2,080"
Illinois,New York,Margin of Error,362
Illinois,North Carolina,Estimate,735
Illinois,North Carolina,Margin of Error,161
Illinois,North Dakota,Estimate,25
Illinois,North Dakota,Margin of Error,27
Illinois,Ohio,Estimate,"1,925"
Illinois,Ohio,Margin of Error,294
Illinois,Oklahoma,Estimate,195
Illinois,Oklahoma,Margin of Error,81
Illinois,Oregon,Estimate,135
Illinois,Oregon,Margin of Error,72
Illinois,Pennsylvania,Estimate,"1,150"
Illinois,Pennsylvania,Margin of Error,234
Illinois,Rhode Island,Estimate,90
Illinois,Rhode Island,Margin of Error,58
Illinois,South Carolina,Estimate,245
Illinois,South Carolina,Margin of Error,105
Illinois,South Dakota,Estimate,90
Illinois,South Dakota,Margin of Error,77
Illinois,Tennessee,Estimate,795
Illinois,Tennessee,Margin of Error,177
Illinois,Texas,Estimate,"2,045"
Illinois,Texas,Margin of Error,354
Illinois,Utah,Estimate,210
Illinois,Utah,Margin of Error,106
Illinois,Vermont,Estimate,160
Illinois,Vermont,Margin of Error,88
Illinois,Virginia,Estimate,840
Illinois,Virginia,Margin of Error,197
Illinois,Washington,Estimate,370
Illinois,Washington,Margin of Error,140
Illinois,West Virginia,Estimate,170
Illinois,West Virginia,Margin of Error,85
Illinois,Wisconsin,Estimate,"21,170"
Illinois,Wisconsin,Margin of Error,824
Illinois,Wyoming,Estimate,80
Illinois,Wyoming,Margin of Error,46
Illinois,Puerto Rico,Estimate,10
Illinois,Puerto Rico,Margin of Error,19
Indiana,Alabama,Estimate,255
Indiana,Alabama,Margin of Error,101
Indiana,Alaska,Estimate,20
Indiana,Alaska,Margin of Error,26
Indiana,Arizona,Estimate,230
Indiana,Arizona,Margin of Error,88
Indiana,Arkansas,Estimate,290
Indiana,Arkansas,Margin of Error,125
Indiana,California,Estimate,440
Indiana,California,Margin of Error,122
Indiana,Colorado,Estimate,200
Indiana,Colorado,Margin of Error,136
Indiana,Connecticut,Estimate,65
Indiana,Connecticut,Margin of Error,43
Indiana,Delaware,Estimate,20
Indiana,Delaware,Margin of Error,26
Indiana,District of Columbia,Estimate,255
Indiana,District of Columbia,Margin of Error,131
Indiana,Florida,Estimate,825
Indiana,Florida,Margin of Error,179
Indiana,Georgia,Estimate,495
Indiana,Georgia,Margin of Error,153
Indiana,Hawaii,Estimate,85
Indiana,Hawaii,Margin of Error,51
Indiana,Idaho,Estimate,15
Indiana,Idaho,Margin of Error,23
Indiana,Illinois,Estimate,"70,185"
Indiana,Illinois,Margin of Error,"1,977"
Indiana,Indiana,Estimate,"2,764,805"
Indiana,Indiana,Margin of Error,"7,037"
Indiana,Iowa,Estimate,410
Indiana,Iowa,Margin of Error,146
Indiana,Kansas,Estimate,175
Indiana,Kansas,Margin of Error,79
Indiana,Kentucky,Estimate,"51,205"
Indiana,Kentucky,Margin of Error,"1,407"
Indiana,Louisiana,Estimate,235
Indiana,Louisiana,Margin of Error,97
Indiana,Maine,Estimate,80
Indiana,Maine,Margin of Error,83
Indiana,Maryland,Estimate,110
Indiana,Maryland,Margin of Error,61
Indiana,Massachusetts,Estimate,120
Indiana,Massachusetts,Margin of Error,56
Indiana,Michigan,Estimate,"9,120"
Indiana,Michigan,Margin of Error,667
Indiana,Minnesota,Estimate,555
Indiana,Minnesota,Margin of Error,153
Indiana,Mississippi,Estimate,60
Indiana,Mississippi,Margin of Error,39
Indiana,Missouri,Estimate,605
Indiana,Missouri,Margin of Error,161
Indiana,Montana,Estimate,10
Indiana,Montana,Margin of Error,13
Indiana,Nebraska,Estimate,225
Indiana,Nebraska,Margin of Error,135
Indiana,Nevada,Estimate,155
Indiana,Nevada,Margin of Error,94
Indiana,New Hampshire,Estimate,30
Indiana,New Hampshire,Margin of Error,30
Indiana,New Jersey,Estimate,445
Indiana,New Jersey,Margin of Error,126
Indiana,New Mexico,Estimate,65
Indiana,New Mexico,Margin of Error,45
Indiana,New York,Estimate,510
Indiana,New York,Margin of Error,153
Indiana,North Carolina,Estimate,375
Indiana,North Carolina,Margin of Error,143
Indiana,Ohio,Estimate,"23,905"
Indiana,Ohio,Margin of Error,904
Indiana,Oklahoma,Estimate,65
Indiana,Oklahoma,Margin of Error,44
Indiana,Oregon,Estimate,160
Indiana,Oregon,Margin of Error,124
Indiana,Pennsylvania,Estimate,730
Indiana,Pennsylvania,Margin of Error,163
Indiana,Rhode Island,Estimate,35
Indiana,Rhode Island,Margin of Error,31
Indiana,South Carolina,Estimate,250
Indiana,South Carolina,Margin of Error,100
Indiana,South Dakota,Estimate,10
Indiana,South Dakota,Margin of Error,21
Indiana,Tennessee,Estimate,905
Indiana,Tennessee,Margin of Error,194
Indiana,Texas,Estimate,"1,005"
Indiana,Texas,Margin of Error,200
Indiana,Utah,Estimate,100
Indiana,Utah,Margin of Error,96
Indiana,Vermont,Estimate,45
Indiana,Vermont,Margin of Error,53
Indiana,Virginia,Estimate,460
Indiana,Virginia,Margin of Error,154
Indiana,Washington,Estimate,80
Indiana,Washington,Margin of Error,50
Indiana,West Virginia,Estimate,120
Indiana,West Virginia,Margin of Error,79
Indiana,Wisconsin,Estimate,925
Indiana,Wisconsin,Margin of Error,208
Indiana,Puerto Rico,Estimate,10
Indiana,Puerto Rico,Margin of Error,19
Iowa,Alabama,Estimate,55
Iowa,Alabama,Margin of Error,47
Iowa,Alaska,Estimate,30
Iowa,Alaska,Margin of Error,21
Iowa,Arizona,Estimate,205
Iowa,Arizona,Margin of Error,83
Iowa,Arkansas,Estimate,55
Iowa,Arkansas,Margin of Error,45
Iowa,California,Estimate,270
Iowa,California,Margin of Error,72
Iowa,Colorado,Estimate,165
Iowa,Colorado,Margin of Error,66
Iowa,Connecticut,Estimate,30
Iowa,Connecticut,Margin of Error,33
Iowa,District of Columbia,Estimate,105
Iowa,District of Columbia,Margin of Error,82
Iowa,Florida,Estimate,215
Iowa,Florida,Margin of Error,86
Iowa,Georgia,Estimate,150
Iowa,Georgia,Margin of Error,77
Iowa,Idaho,Estimate,20
Iowa,Idaho,Margin of Error,22
Iowa,Illinois,Estimate,"21,480"
Iowa,Illinois,Margin of Error,915
Iowa,Indiana,Estimate,255
Iowa,Indiana,Margin of Error,104
Iowa,Iowa,Estimate,"1,447,760"
Iowa,Iowa,Margin of Error,"3,710"
Iowa,Kansas,Estimate,220
Iowa,Kansas,Margin of Error,78
Iowa,Kentucky,Estimate,45
Iowa,Kentucky,Margin of Error,26
Iowa,Louisiana,Estimate,70
Iowa,Louisiana,Margin of Error,51
Iowa,Maryland,Estimate,35
Iowa,Maryland,Margin of Error,43
Iowa,Massachusetts,Estimate,10
Iowa,Massachusetts,Margin of Error,14
Iowa,Michigan,Estimate,130
Iowa,Michigan,Margin of Error,58
Iowa,Minnesota,Estimate,"5,060"
Iowa,Minnesota,Margin of Error,395
Iowa,Mississippi,Estimate,25
Iowa,Mississippi,Margin of Error,42
Iowa,Missouri,Estimate,"1,690"
Iowa,Missouri,Margin of Error,188
Iowa,Montana,Estimate,20
Iowa,Montana,Margin of Error,15
Iowa,Nebraska,Estimate,"31,020"
Iowa,Nebraska,Margin of Error,"1,000"
Iowa,Nevada,Estimate,25
Iowa,Nevada,Margin of Error,27
Iowa,New Hampshire,Estimate,10
Iowa,New Hampshire,Margin of Error,15
Iowa,New Jersey,Estimate,155
Iowa,New Jersey,Margin of Error,92
Iowa,New Mexico,Estimate,20
Iowa,New Mexico,Margin of Error,24
Iowa,New York,Estimate,85
Iowa,New York,Margin of Error,76
Iowa,North Carolina,Estimate,190
Iowa,North Carolina,Margin of Error,86
Iowa,North Dakota,Estimate,95
Iowa,North Dakota,Margin of Error,44
Iowa,Ohio,Estimate,175
Iowa,Ohio,Margin of Error,73
Iowa,Oklahoma,Estimate,95
Iowa,Oklahoma,Margin of Error,50
Iowa,Oregon,Estimate,50
Iowa,Oregon,Margin of Error,40
Iowa,Pennsylvania,Estimate,75
Iowa,Pennsylvania,Margin of Error,44
Iowa,Rhode Island,Estimate,25
Iowa,Rhode Island,Margin of Error,36
Iowa,South Carolina,Estimate,90
Iowa,South Carolina,Margin of Error,57
Iowa,South Dakota,Estimate,"5,470"
Iowa,South Dakota,Margin of Error,419
Iowa,Tennessee,Estimate,195
Iowa,Tennessee,Margin of Error,102
Iowa,Texas,Estimate,395
Iowa,Texas,Margin of Error,108
Iowa,Utah,Estimate,45
Iowa,Utah,Margin of Error,37
Iowa,Vermont,Estimate,10
Iowa,Vermont,Margin of Error,19
Iowa,Virginia,Estimate,110
Iowa,Virginia,Margin of Error,53
Iowa,Washington,Estimate,85
Iowa,Washington,Margin of Error,52
Iowa,Wisconsin,Estimate,"3,400"
Iowa,Wisconsin,Margin of Error,326
Iowa,Wyoming,Estimate,25
Iowa,Wyoming,Margin of Error,25
Kansas,Alabama,Estimate,40
Kansas,Alabama,Margin of Error,37
Kansas,Alaska,Estimate,55
